,source,confidence,target,weight
10451,FOXA1,B,NRG4,0.5
10452,FOXA1,B,NRP1,0.5
10453,FOXA1,B,NRXN1,0.5
10454,HNF4A,B,LSM4,0.5
10455,HNF4A,B,LRRFIP1,0.5
10456,HNF4A,B,LRRC8D,0.5
10457,HNF4A,B,LRP5,0.5
10458,HNF4A,B,LRIG1,0.5
10459,HNF4A,B,LPP,0.5
10460,SPI1,B,ZNF365,0.5
10461,FOXO1,B,ARHGAP10,0.5
10462,SOX2,B,PDE4B,0.5
10463,SPI1,B,ZEB2,0.5
10464,SPI1,B,ZDHHC14,0.5
10465,HNF4A,B,LMO7,0.5
10466,HNF4A,B,LMNA,0.5
10467,SPI1,B,ZBTB20,0.5
10468,FOXO1,B,FYN,0.5
10469,SPI1,B,ZBTB16,0.5
10470,SPI1,B,ZMIZ1,0.5
10471,SOX2,B,TBCK,0.5
10472,HNF4A,B,MACF1,0.5
10473,HNF4A,B,MAD1L1,0.5
10474,HNF4A,B,METTL7B,0.5
10475,GATA3,B,SPATS2L,0.5
10476,HNF4A,B,MET,0.5
10477,FOXM1,B,MBP,0.5
10478,HNF4A,B,ME3,0.5
10479,SPIB,B,KLHL6,0.5
10480,HNF4A,B,MCF2L,0.5
10481,HNF4A,B,MBNL3,0.5
10482,FOXM1,B,PPFIBP2,0.5
10483,HNF4A,B,MBNL2,0.5
10484,HNF4A,B,MAST4,0.5
10485,HNF4A,B,MARK2,0.5
10486,GATA3,B,SPECC1L,0.5
10487,HNF4A,B,MAP4K4,0.5
10488,HNF4A,B,MAOA,0.5
10489,HNF4A,B,MAML2,0.5
10490,HNF4A,B,MAGI1,0.5
10491,SPI1,B,XYLT1,0.5
10492,SPI1,B,WNK1,0.5
10493,SPI1,B,WIPF1,0.5
10494,HNF4A,B,LINC00299,0.5
10495,SPI1,B,TRAPPC9,0.5
10496,GATA3,B,SPRED2,0.5
10497,SPI1,B,TRAK1,0.5
10498,HNF4A,B,LAMA5,0.5
10499,SPI1,B,TNS3,0.5
10500,SPI1,B,TNS1,0.5
10501,SPI1,B,TNRC6B,0.5
10502,HNF4A,B,KSR1,0.5
10503,HNF4A,B,KRT8,0.5
10504,SPI1,B,TNFAIP8,0.5
10505,GATA3,B,SPTBN1,0.5
10506,SPI1,B,TMEM163,0.5
10507,SPI1,B,TMEM131L,0.5
10508,SPI1,B,TMEM131,0.5
10509,SPI1,B,TLK1,0.5
10510,SPI1,B,TLE4,0.5
10511,SPI1,B,TLE3,0.5
10512,FOXO1,B,PIP4K2A,0.5
10513,HNF4A,B,MGRN1,0.5
10514,HNF4A,B,LARGE1,0.5
10515,SMAD1,B,GDF15,0.5
10516,HNF4A,B,LHPP,0.5
10517,SPI1,B,VPS13D,0.5
10518,SPI1,B,VPS13B,0.5
10519,SPI1,B,VNN2,0.5
10520,HNF4A,B,LHFPL2,0.5
10521,GATA3,B,SPOCK1,0.5
10522,SPI1,B,VCL,0.5
10523,SPI1,B,VAV3,0.5
10524,SPI1,B,UVRAG,0.5
10525,SPI1,B,UST,0.5
10526,HNF4A,B,LGALS2,0.5
10527,SPI1,B,USP10,0.5
10528,SPI1,B,UCP2,0.5
10529,HNF4A,B,LEKR1,0.5
10530,SPI1,B,UBE2E1,0.5
10531,FOXO1,B,OSBPL9,0.5
10532,SPI1,B,TSPAN14,0.5
10533,SPI1,B,TRIO,0.5
10534,HNF4A,B,MICAL2,0.5
10535,HNF4A,B,MICAL3,0.5
10536,HNF4A,B,MIDEAS,0.5
10537,HNF4A,B,PDE8A,0.5
10538,FOXJ2,B,SUN1,0.5
10539,HNF4A,B,PDE4D,0.5
10540,HNF4A,B,PCSK6,0.5
10541,HNF4A,B,PCBP1,0.5
10542,HNF4A,B,PACSIN2,0.5
10543,HNF4A,B,OSBPL3,0.5
10544,HNF4A,B,OSBPL10,0.5
10545,SREBF2,B,DPP9,0.5
10546,SREBF2,B,DNM2,0.5
10547,HNF4A,B,NUP210,0.5
10548,HNF4A,B,NRP1,0.5
10549,HNF4A,B,NR2F6,0.5
10550,HNF4A,B,NPAS2,0.5
10551,HNF4A,B,NOL4L,0.5
10552,HNF4A,B,NHSL1,0.5
10553,HNF4A,B,NFKBIZ,0.5
10554,HNF4A,B,PDLIM5,0.5
10555,HNF4A,B,NFIB,0.5
10556,HNF4A,B,PEMT,0.5
10557,HNF4A,B,PER2,0.5
10558,HNF4A,B,PLEKHM3,0.5
10559,HNF4A,B,PLEKHG6,0.5
10560,HNF4A,B,PLEKHG3,0.5
10561,HNF4A,B,PLEKHA7,0.5
10562,HNF4A,B,PLEKHA6,0.5
10563,HNF4A,B,PLEC,0.5
10564,HNF4A,B,PLD1,0.5
10565,GATA3,B,SLC8A1,0.5
10566,HNF4A,B,PLCB1,0.5
10567,HNF4A,B,PLA2G4F,0.5
10568,HNF4A,B,PIM1,0.5
10569,HNF4A,B,PIK3R1,0.5
10570,HNF4A,B,PIK3AP1,0.5
10571,HNF4A,B,PHLPP1,0.5
10572,HNF4A,B,PHLDB2,0.5
10573,HNF4A,B,PHF3,0.5
10574,HNF4A,B,PHACTR2,0.5
10575,HNF4A,B,PEPD,0.5
10576,SPI1,B,TIAM2,0.5
10577,HNF4A,B,NFIA,0.5
10578,HNF4A,B,NEK6,0.5
10579,GATA3,B,SND1,0.5
10580,HIF1A,B,AGPAT5,0.5
10581,SREBF1,B,ARFIP2,0.5
10582,HNF4A,B,MVK,0.5
10583,HNF4A,B,MUC13,0.5
10584,HNF4A,B,MTUS1,0.5
10585,HNF4A,B,MTSS1,0.5
10586,HNF4A,B,MTMR12,0.5
10587,HNF4A,B,MTARC2,0.5
10588,HIF1A,B,TNS1,0.5
10589,SOX2,B,PDLIM5,0.5
10590,HIF1A,B,ADAMTS20,0.5
10591,SOX2,B,PDE4D,0.5
10592,HNF4A,B,MSI2,0.5
10593,HNF4A,B,MOGAT2,0.5
10594,FOXM1,B,FAM83D,0.5
10595,HNF4A,B,MIDN,0.5
10596,SOX2,B,PHACTR1,0.5
10597,HNF4A,B,NFASC,0.5
10598,GATA3,B,SMYD3,0.5
10599,GATA3,B,SMAD3,0.5
10600,HNF4A,B,NEDD9,0.5
10601,HNF4A,B,NEDD4L,0.5
10602,HNF4A,B,NDUFAF6,0.5
10603,HNF4A,B,NDST1,0.5
10604,HNF4A,B,NCOR2,0.5
10605,SREBF1,B,MID1IP1,0.5
10606,HNF4A,B,NCOA4,0.5
10607,HNF4A,B,NAV2,0.5
10608,HNF4A,B,N4BP1,0.5
10609,HNF4A,B,MYOM1,0.5
10610,HNF4A,B,MYO1B,0.5
10611,HNF4A,B,MYO18A,0.5
10612,SIX2,B,ZNF423,0.5
10613,HNF4A,B,MYLK,0.5
10614,HNF4A,B,MYH9,0.5
10615,HNF4A,B,MYBPC1,0.5
10616,GATA3,B,SLIT3,0.5
10617,SOX2,B,PHLPP1,0.5
10618,SPI1,B,TIAM1,0.5
10619,SPI1,B,THADA,0.5
10620,SPI1,B,TCF7L2,0.5
10621,FOXP1,B,FAT1,0.5
10622,HNF4A,B,ITPR2,0.5
10623,HNF4A,B,ITPR1,0.5
10624,FOXP1,B,FCHSD2,0.5
10625,HNF4A,B,ITGB5,0.5
10626,SPI1,B,RIN3,0.5
10627,SPI1,B,RGS12,0.5
10628,FOXP1,B,FNDC3B,0.5
10629,FOXP1,B,FOCAD,0.5
10630,HNF4A,B,IQGAP2,0.5
10631,FOXP1,B,FOXN3,0.5
10632,GATA3,B,STARD13,0.5
10633,SPI1,B,RFX3,0.5
10634,SPI1,B,RFTN1,0.5
10635,SPI1,B,RERE,0.5
10636,GATA3,B,FOXP1,0.5
10637,FOXP1,B,GBE1,0.5
10638,FOXP1,B,FAM13A,0.5
10639,FOXP1,B,GLIS3,0.5
10640,SPI1,B,RPS6KA1,0.5
10641,SPI1,B,RREB1,0.5
10642,HNF4A,B,KAZN,0.5
10643,FOXP1,B,DST,0.5
10644,SPI1,B,SEPTIN9,0.5
10645,SPI1,B,SEMA4D,0.5
10646,FOXP1,B,EFNA5,0.5
10647,FOXP1,B,EGLN3,0.5
10648,SPI1,B,SEC14L1,0.5
10649,FOXP1,B,EIF3H,0.5
10650,FOXP1,B,EIF4G3,0.5
10651,FOXP1,B,ELF2,0.5
10652,SPI1,B,SAMSN1,0.5
10653,SPI1,B,SAMD4A,0.5
10654,FOXP1,B,EPB41L2,0.5
10655,SPI1,B,RTN4,0.5
10656,FOXP1,B,EPRS1,0.5
10657,FOXP1,B,ERC2,0.5
10658,HNF4A,B,KALRN,0.5
10659,SPI1,B,RPS6KA2,0.5
10660,FOXP1,B,DOCK4,0.5
10661,SPI1,B,RCAN1,0.5
10662,SPI1,B,RBMS1,0.5
10663,FOXP1,B,LARGE1,0.5
10664,SPI1,B,RAD51B,0.5
10665,FOXP1,B,LIMCH1,0.5
10666,FOXP1,B,LIMS1,0.5
10667,FOXP1,B,LNX1,0.5
10668,SPI1,B,RABGAP1L,0.5
10669,FOXP1,B,LRIG1,0.5
10670,SPI1,B,RAB31,0.5
10671,SPI1,B,PTPRJ,0.5
10672,GATA3,B,STK3,0.5
10673,FOXP1,B,LSAMP,0.5
10674,FOXP1,B,LTBP1,0.5
10675,FOXP1,B,MAD1L1,0.5
10676,SPI1,B,PTK2B,0.5
10677,FOXP1,B,MAGI1,0.5
10678,FOXP1,B,MAML3,0.5
10679,FOXP1,B,MAP2,0.5
10680,FOXP1,B,LAMC1,0.5
10681,FOXP1,B,GPBP1L1,0.5
10682,SPI1,B,RAP1GAP2,0.5
10683,FOXP1,B,KIAA1217,0.5
10684,SPI1,B,RBM47,0.5
10685,FOXP1,B,GSE1,0.5
10686,HNF4A,B,INSR,0.5
10687,FOXP1,B,GTDC1,0.5
10688,SPI1,B,RASSF2,0.5
10689,FOXP1,B,HECTD1,0.5
10690,FOXP1,B,HIVEP2,0.5
10691,FOXP1,B,IGF1R,0.5
10692,SMAD3,B,CMIP,0.5
10693,HNF4A,B,IL1RAP,0.5
10694,FOXP1,B,ITGA4,0.5
10695,FOXP1,B,ITPR1,0.5
10696,FOXP1,B,JADE2,0.5
10697,SPI1,B,RASA3,0.5
10698,SPI1,B,RAPGEF6,0.5
10699,HNF4A,B,IL1R1,0.5
10700,FOXP1,B,KDM4C,0.5
10701,SPI1,B,RAPGEF1,0.5
10702,HNF4A,B,PLPP3,0.5
10703,SPI1,B,SGMS1,0.5
10704,SPI1,B,SH3BP5,0.5
10705,FOXP1,B,ANGPT1,0.5
10706,FOXP1,B,ANKRD28,0.5
10707,FOXP1,B,AP3B1,0.5
10708,SPI1,B,SVIL,0.5
10709,FOXP1,B,ARHGAP32,0.5
10710,GATA3,B,ST6GAL1,0.5
10711,FOXP1,B,ARID1A,0.5
10712,FOXP1,B,ARID5B,0.5
10713,SMAD1,B,ZEB2,0.5
10714,SPI1,B,STK10,0.5
10715,SPI1,B,STIM1,0.5
10716,SPI1,B,STARD13,0.5
10717,FOXP1,B,AUTS2,0.5
10718,SPI1,B,ST8SIA1,0.5
10719,FOXP1,B,AZIN1,0.5
10720,SPI1,B,ST6GAL1,0.5
10721,FOXP1,B,BBC3,0.5
10722,FOXP1,B,AMPD3,0.5
10723,SPI1,B,ST14,0.5
10724,SPI1,B,SYNE1,0.5
10725,HNF4A,B,KHDRBS3,0.5
10726,SPI1,B,TCF4,0.5
10727,SPI1,B,TCF12,0.5
10728,GATA3,B,SSBP2,0.5
10729,HIF1A,B,TNS3,0.5
10730,SPI1,B,TBL1XR1,0.5
10731,HNF4A,B,KIAA1217,0.5
10732,SPI1,B,TBC1D5,0.5
10733,SPI1,B,TBC1D1,0.5
10734,FOXP1,B,ACSL3,0.5
10735,GATA3,B,ST3GAL1,0.5
10736,FOXP1,B,ACTR3,0.5
10737,SPI1,B,TAOK3,0.5
10738,FOXP1,B,ADGRL2,0.5
10739,SPI1,B,TACC1,0.5
10740,FOXP1,B,AFF1,0.5
10741,FOXP1,B,AFF3,0.5
10742,FOXP1,B,AGAP1,0.5
10743,SPI1,B,SYNJ2,0.5
10744,SPI1,B,SH3BP2,0.5
10745,FOXP1,B,BCAS3,0.5
10746,HNF4A,B,KCNMA1,0.5
10747,SPI1,B,SLC9A1,0.5
10748,FOXP1,B,CHD2,0.5
10749,FOXP1,B,CHD9,0.5
10750,SPI1,B,SLC8A1,0.5
10751,FOXP1,B,CHN1,0.5
10752,FOXP1,B,CHN2,0.5
10753,SPI1,B,SLC6A6,0.5
10754,FOXP1,B,CLASP2,0.5
10755,SPI1,B,SIPA1L3,0.5
10756,SPI1,B,SIPA1L1,0.5
10757,FOXP1,B,CREB5,0.5
10758,FOXP1,B,CRYBG1,0.5
10759,FOXP1,B,CUL3,0.5
10760,SPI1,B,SIL1,0.5
10761,SPI1,B,SIK3,0.5
10762,FOXP1,B,DIP2B,0.5
10763,FOXP1,B,DLGAP1,0.5
10764,SPI1,B,SLCO3A1,0.5
10765,HNF4A,B,KDM4C,0.5
10766,SPI1,B,SMAD2,0.5
10767,FOXP1,B,CDK6,0.5
10768,FOXP1,B,BIRC6,0.5
10769,FOXP1,B,BNC2,0.5
10770,SPI1,B,SPTBN1,0.5
10771,SPI1,B,SPRED2,0.5
10772,SPI1,B,SPIDR,0.5
10773,SPI1,B,SPATS2L,0.5
10774,FOXP1,B,CAB39,0.5
10775,SPI1,B,SPAG9,0.5
10776,FOXP1,B,CACNA2D3,0.5
10777,FOXP1,B,CADM1,0.5
10778,SPI1,B,SORL1,0.5
10779,FOXP1,B,CAMK2D,0.5
10780,SPI1,B,SNX10,0.5
10781,FOXP1,B,CASZ1,0.5
10782,SPI1,B,SND1,0.5
10783,SPI1,B,SMYD3,0.5
10784,SPI1,B,SMAD3,0.5
10785,FOXP1,B,CEP112,0.5
10786,GATA3,B,KCNK2,0.5
10787,SOX2,B,PIEZO2,0.5
10788,HNF4A,B,PLXNA2,0.5
10789,FOXA1,B,RAPGEF4,0.5
10790,FOXA1,B,RAPGEF5,0.5
10791,FOXA1,B,RASAL2,0.5
10792,FOXA1,B,RASEF,0.5
10793,FOXA1,B,RBM47,0.5
10794,FOXA1,B,RBMS1,0.5
10795,FOXA1,B,RBMS3,0.5
10796,FOXA1,B,RBPJ,0.5
10797,FOXA1,B,RBPMS,0.5
10798,FOXA1,B,RELN,0.5
10799,FOXA1,B,RERE,0.5
10800,FOXA1,B,RFX3,0.5
10801,STAT1,B,ANKRD44,0.5
10802,HNF4A,B,SLC30A10,0.5
10803,HNF4A,B,SLC2A9,0.5
10804,FOXA1,B,RGS6,0.5
10805,STAT1,B,AMPD3,0.5
10806,STAT1,B,ANXA1,0.5
10807,RXRA,B,PLIN2,0.5
10808,FOXA1,B,RALGAPA2,0.5
10809,HNF4A,B,SLC35D2,0.5
10810,STAT1,B,ARHGAP25,0.5
10811,FOXA1,B,PRLR,0.5
10812,STAT1,B,ARHGAP15,0.5
10813,FOXA1,B,PRR15L,0.5
10814,STAT1,B,APOL6,0.5
10815,FOXA1,B,PRUNE2,0.5
10816,FOXA1,B,PSD3,0.5
10817,HIF1A,B,ARFGEF2,0.5
10818,HNF4A,B,SLC39A11,0.5
10819,STAT1,B,AP3S2,0.5
10820,STAT1,B,AP3D1,0.5
10821,FOXA1,B,PTK2,0.5
10822,FOXA1,B,PTPN4,0.5
10823,FOXA1,B,PTPRM,0.5
10824,FOXA1,B,PTPRR,0.5
10825,FOXA1,B,RABGAP1L,0.5
10826,FOXA1,B,RAD51B,0.5
10827,FOXA1,B,RALGAPA1,0.5
10828,FOXA1,B,PRKD1,0.5
10829,STAT1,B,ALDH1A2,0.5
10830,FOXA1,B,RIMS2,0.5
10831,HNF4A,B,SIL1,0.5
10832,RXRA,B,RARB,0.5
10833,FOXA1,B,SH3RF1,0.5
10834,FOXA1,B,SHANK2,0.5
10835,FOXA1,B,SHROOM3,0.5
10836,FOXA1,B,SIK3,0.5
10837,FOXA1,B,SIL1,0.5
10838,FOXA1,B,SIPA1L1,0.5
10839,FOXA1,B,SIPA1L2,0.5
10840,FOXA1,B,SKAP2,0.5
10841,FOXA1,B,SLC22A23,0.5
10842,STAT1,B,ADCY7,0.5
10843,HNF4A,B,SHANK2,0.5
10844,FOXA1,B,SLC38A1,0.5
10845,HNF4A,B,SH3PXD2A,0.5
10846,FOXA1,B,SLC38A9,0.5
10847,FOXA1,B,SLC44A1,0.5
10848,STAT1,B,AFF1,0.5
10849,FOXA1,B,RIMS1,0.5
10850,HNF4A,B,SIPA1L3,0.5
10851,FOXA1,B,SEMA3A,0.5
10852,STAT1,B,ALCAM,0.5
10853,HNF4A,B,SLC22A23,0.5
10854,FOXA1,B,RNF43,0.5
10855,STAT1,B,AKAP13,0.5
10856,FOXA1,B,ROBO1,0.5
10857,HNF4A,B,SLC20A2,0.5
10858,STAT1,B,AK2,0.5
10859,FOXA1,B,RPS6KC1,0.5
10860,FOXA1,B,RUNX1,0.5
10861,HNF4A,B,SLC13A5,0.5
10862,FOXA1,B,SAMD4A,0.5
10863,FOXA1,B,SASH1,0.5
10864,FOXA1,B,SBF2,0.5
10865,STAT1,B,AHNAK,0.5
10866,HNF4A,B,SLC13A3,0.5
10867,FOXA1,B,SCAPER,0.5
10868,HNF4A,B,SKI,0.5
10869,FOXA1,B,SEMA3C,0.5
10870,HNF4A,B,SH3D19,0.5
10871,STAT1,B,ARHGAP26,0.5
10872,FOXA1,B,PRKCE,0.5
10873,FOXA1,B,PARD3,0.5
10874,FOXA1,B,PARD3B,0.5
10875,STAT1,B,BCOR,0.5
10876,FOXA1,B,PAWR,0.5
10877,FOXA1,B,PBX1,0.5
10878,FOXA1,B,PBX3,0.5
10879,STAT1,B,BCL3,0.5
10880,HNF4A,B,SMAD3,0.5
10881,FOXA1,B,PCLO,0.5
10882,FOXA1,B,PCNX1,0.5
10883,FOXA1,B,PDE4B,0.5
10884,FOXA1,B,PDE4D,0.5
10885,FOXA1,B,PDE8B,0.5
10886,FOXA1,B,PDLIM5,0.5
10887,STAT1,B,BCL11A,0.5
10888,FOXA1,B,PDS5B,0.5
10889,STAT1,B,BCAT1,0.5
10890,FOXA1,B,PAPSS1,0.5
10891,FOXA1,B,PDZRN3,0.5
10892,FOXA1,B,PAPPA2,0.5
10893,FOXA1,B,PAM,0.5
10894,FOXA1,B,NRXN3,0.5
10895,HNF4A,B,SNTB1,0.5
10896,FOXA1,B,NUMB,0.5
10897,FOXA1,B,NXPH1,0.5
10898,FOXA1,B,OFCC1,0.5
10899,HIF1A,B,ARID1B,0.5
10900,STAT1,B,BTBD1,0.5
10901,HNF4A,B,SMURF1,0.5
10902,HNF4A,B,SMOC1,0.5
10903,FOXA1,B,OSBPL10,0.5
10904,FOXA1,B,OSBPL8,0.5
10905,FOXA1,B,OSBPL9,0.5
10906,HNF4A,B,SMAD7,0.5
10907,FOXA1,B,P3H2,0.5
10908,STAT1,B,BLVRA,0.5
10909,FOXA1,B,PACS1,0.5
10910,FOXA1,B,PAG1,0.5
10911,STAT1,B,BIN1,0.5
10912,FOXA1,B,PRKCH,0.5
10913,STAT1,B,BCAR3,0.5
10914,FOXA1,B,PHACTR1,0.5
10915,STAT1,B,ASAP1,0.5
10916,STAT1,B,ARSG,0.5
10917,FOXA1,B,PLXNA2,0.5
10918,STAT1,B,ARID5B,0.5
10919,STAT1,B,ARID1A,0.5
10920,HNF4A,B,SLC40A1,0.5
10921,FOXA1,B,POU2F1,0.5
10922,FOXA1,B,PPFIA2,0.5
10923,STAT1,B,ARHGEF3,0.5
10924,FOXA1,B,PPFIBP2,0.5
10925,STAT1,B,ARHGEF2,0.5
10926,FOXA1,B,PPP1R12A,0.5
10927,FOXA1,B,PPP3CA,0.5
10928,STAT1,B,ARHGEF10L,0.5
10929,FOXA1,B,PREX1,0.5
10930,FOXA1,B,PRICKLE2,0.5
10931,FOXA1,B,PRKAG2,0.5
10932,HNF4A,B,SLC44A1,0.5
10933,HNF4A,B,SLCO2B1,0.5
10934,FOXA1,B,PLD1,0.5
10935,FOXA1,B,PLCB4,0.5
10936,FOXA1,B,PHACTR2,0.5
10937,STAT1,B,BANP,0.5
10938,HNF4A,B,SLC7A5,0.5
10939,GATA3,B,SIPA1L1,0.5
10940,FOXA1,B,PHLDB2,0.5
10941,FOXA1,B,PHLPP1,0.5
10942,FOXA1,B,PIAS1,0.5
10943,STAT1,B,ATXN1,0.5
10944,FOXA1,B,PIEZO2,0.5
10945,FOXA1,B,PIP4K2A,0.5
10946,STAT1,B,ATR,0.5
10947,STAT1,B,ATP8B4,0.5
10948,STAT1,B,ATP6V0A1,0.5
10949,FOXA1,B,PKIB,0.5
10950,FOXA1,B,PKP4,0.5
10951,STAT1,B,ATP11C,0.5
10952,FOXA1,B,PLCB1,0.5
10953,HNF4A,B,SLC44A4,0.5
10954,FOXP1,B,MCTP1,0.5
10955,STAT1,B,ACTB,0.5
10956,FOXA1,B,SLX4IP,0.5
10957,FOXA1,B,VGLL4,0.5
10958,FOXA1,B,VMP1,0.5
10959,FOXA1,B,VPS13B,0.5
10960,FOXA1,B,VPS13D,0.5
10961,HNF4A,B,RGS3,0.5
10962,FOXA1,B,WDFY3,0.5
10963,FOXA1,B,WWC1,0.5
10964,FOXA1,B,WWC2,0.5
10965,SRF,B,LPP,0.5
10966,HNF4A,B,RERE,0.5
10967,HNF4A,B,RBPMS,0.5
10968,SRF,B,KLF7,0.5
10969,FOXA1,B,ZBTB16,0.5
10970,HNF4A,B,RBM47,0.5
10971,FOXA1,B,ZBTB20,0.5
10972,SRF,B,KCNH2,0.5
10973,FOXA1,B,ZFAND3,0.5
10974,FOXA1,B,VAV3,0.5
10975,FOXA1,B,ZFPM2,0.5
10976,FOXA1,B,UVRAG,0.5
10977,FOXA1,B,UST,0.5
10978,SRF,B,PRUNE2,0.5
10979,FOXA1,B,TRPS1,0.5
10980,FOXA1,B,TSC22D2,0.5
10981,FOXA1,B,TSPAN8,0.5
10982,FOXA1,B,TTC6,0.5
10983,SRF,B,PPP1R12A,0.5
10984,FOXA1,B,TUSC3,0.5
10985,FOXA1,B,TXNRD1,0.5
10986,HNF4A,B,RNF43,0.5
10987,FOXA1,B,UBR5,0.5
10988,HNF4A,B,RIN2,0.5
10989,HNF4A,B,RHOBTB3,0.5
10990,SRF,B,MYH9,0.5
10991,FOXA1,B,UNC5C,0.5
10992,HNF4A,B,RHO,0.5
10993,FOXA1,B,USP10,0.5
10994,FOXA1,B,USP25,0.5
10995,FOXA1,B,UTRN,0.5
10996,FOXA1,B,TRIP12,0.5
10997,FOXA1,B,ZMIZ1,0.5
10998,FOXA1,B,ZNF385B,0.5
10999,HNF4A,B,PSD3,0.5
11000,GATA3,B,SLC38A1,0.5
11001,GATA3,B,SLC44A1,0.5
11002,HNF4A,B,PRR5,0.5
11003,SRF,B,ASB2,0.5
11004,HNF4A,B,PRLR,0.5
11005,HNF4A,B,PRKCH,0.5
11006,SRF,B,ACTN1,0.5
11007,HNF4A,B,PRKCE,0.5
11008,HNF4A,B,PRKAG2,0.5
11009,HNF4A,B,PPTC7,0.5
11010,HNF4A,B,PPP3CA,0.5
11011,HNF4A,B,PPFIBP2,0.5
11012,SREBF2,B,TRAPPC9,0.5
11013,HNF4A,B,POR,0.5
11014,FOXA2,B,WWC1,0.5
11015,SREBF2,B,TKT,0.5
11016,HNF4A,B,PSD4,0.5
11017,FOXA1,B,ZMYND8,0.5
11018,HNF4A,B,PTK2,0.5
11019,HNF4A,B,PTP4A1,0.5
11020,FOXA1,B,ZNF385D,0.5
11021,FOXA1,B,ZNF407,0.5
11022,FOXA1,B,ZNF608,0.5
11023,HNF4A,B,RAPGEF5,0.5
11024,FOXA1,B,ZPLD1,0.5
11025,HNF4A,B,RAPGEF2,0.5
11026,HNF4A,B,RAPGEF1,0.5
11027,HNF4A,B,RALGPS1,0.5
11028,SOX2,B,PLCB4,0.5
11029,SOX2,B,ABCA13,0.5
11030,SOX2,B,PLCB1,0.5
11031,HNF4A,B,RAD51B,0.5
11032,HNF4A,B,RABGAP1L,0.5
11033,HNF4A,B,PXN,0.5
11034,HNF4A,B,PTPRM,0.5
11035,SRF,B,EGR2,0.5
11036,HNF4A,B,PTPRF,0.5
11037,HNF4A,B,PTK2B,0.5
11038,FOXA1,B,SLC8A1,0.5
11039,FOXA1,B,TRIO,0.5
11040,RXRA,B,UBC,0.5
11041,FOXA1,B,ST18,0.5
11042,FOXA1,B,ST7,0.5
11043,FOXA1,B,STAG1,0.5
11044,FOXA1,B,STARD13,0.5
11045,FOXA1,B,STK3,0.5
11046,STAT1,B,AAK1,0.5
11047,FOXA1,B,STXBP6,0.5
11048,FOXA1,B,SVIL,0.5
11049,FOXA1,B,SYBU,0.5
11050,FOXA1,B,SYNE1,0.5
11051,FOXA1,B,SYNE2,0.5
11052,HNF4A,B,SERINC5,0.5
11053,FOXA1,B,SYT1,0.5
11054,HNF4A,B,SEPTIN9,0.5
11055,FOXA1,B,TACC2,0.5
11056,HNF4A,B,SEMA4B,0.5
11057,FOXA1,B,TANK,0.5
11058,FOXA1,B,SSBP2,0.5
11059,FOXA1,B,TAOK3,0.5
11060,RXRA,B,SORBS1,0.5
11061,FOXA1,B,SPRED2,0.5
11062,FOXA1,B,SMCHD1,0.5
11063,FOXA1,B,SMYD3,0.5
11064,HNF4A,B,SH3BP4,0.5
11065,FOXA1,B,SND1,0.5
11066,GATA3,B,SIPA1L2,0.5
11067,STAT1,B,ACSL5,0.5
11068,FOXA1,B,SORBS1,0.5
11069,FOXA1,B,SORBS2,0.5
11070,FOXA1,B,SOX5,0.5
11071,FOXA1,B,SOX6,0.5
11072,FOXA1,B,SOX9,0.5
11073,HNF4A,B,SFXN5,0.5
11074,FOXA1,B,SPAG17,0.5
11075,HNF4A,B,SERTAD2,0.5
11076,FOXA1,B,SPATS2L,0.5
11077,FOXA1,B,SPIDR,0.5
11078,FOXA1,B,SPOCK1,0.5
11079,FOXA1,B,SPTBN1,0.5
11080,FOXA1,B,TRAPPC9,0.5
11081,SRF,B,WWTR1,0.5
11082,FOXA1,B,TBC1D5,0.5
11083,FOXA1,B,TMC1,0.5
11084,HNF4A,B,SCAP,0.5
11085,SOX2,B,PLCL1,0.5
11086,SRF,B,SVIL,0.5
11087,HNF4A,B,SARDH,0.5
11088,SRF,B,SORBS1,0.5
11089,HNF4A,B,SAMD4A,0.5
11090,FOXA1,B,TMTC2,0.5
11091,FOXA1,B,TNS3,0.5
11092,HNF4A,B,RUNX1,0.5
11093,HNF4A,B,RREB1,0.5
11094,FOXA1,B,TP63,0.5
11095,FOXA1,B,TPD52,0.5
11096,FOXA1,B,TPD52L1,0.5
11097,FOXA1,B,TPK1,0.5
11098,HNF4A,B,RRBP1,0.5
11099,FOXA1,B,TPRG1,0.5
11100,FOXA1,B,TLN2,0.5
11101,FOXA1,B,TBC1D1,0.5
11102,FOXA1,B,TLK1,0.5
11103,FOXA1,B,TLE1,0.5
11104,FOXA1,B,TBC1D8,0.5
11105,FOXA1,B,TBL1XR1,0.5
11106,FOXA1,B,TCF12,0.5
11107,SRF,B,WDR1,0.5
11108,FOXA1,B,TEAD1,0.5
11109,SRF,B,VCL,0.5
11110,FOXA1,B,TENM4,0.5
11111,HNF4A,B,SEC23A,0.5
11112,SRF,B,TPM4,0.5
11113,HNF4A,B,SEC14L1,0.5
11114,FOXA1,B,TFPI,0.5
11115,FOXA1,B,TGFBR3,0.5
11116,FOXA1,B,THADA,0.5
11117,FOXA1,B,THSD4,0.5
11118,FOXA1,B,THSD7A,0.5
11119,FOXA1,B,TIAM1,0.5
11120,FOXA1,B,TIAM2,0.5
11121,FOXA1,B,TLE3,0.5
11122,EGR1,B,PRKCZ,0.5
11123,CTCF,B,RYR3,0.5
11124,LEF1,B,AXIN2,0.5
11125,CTCF,B,DPP6,0.5
